epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1494.14,2.27056,1.56761,2.07383,0.8169,0.7408,0.81488,0.56736,1.9234,1.16565,1.81612,0.000555458,0.000555458,0.000555458
2,2964.72,1.80306,1.07358,1.87449,0.82961,0.77549,0.8449,0.60134,1.78656,1.05948,1.7675,0.00100112,0.00100112,0.00100112
3,4430.16,1.73827,1.04309,1.84972,0.83241,0.7754,0.84534,0.61029,1.73369,1.03241,1.75096,0.00133677,0.00133677,0.00133677
4,5899.94,1.69341,1.00425,1.83352,0.84532,0.7911,0.86183,0.62877,1.67307,0.98765,1.73199,0.0011719,0.0011719,0.0011719
5,7370.18,1.65259,0.97761,1.82349,0.84199,0.79343,0.86395,0.6367,1.63588,0.97297,1.71323,0.00100687,0.00100687,0.00100687
6,8842.06,1.6212,0.95775,1.81505,0.85199,0.79148,0.86569,0.64157,1.61087,0.95153,1.70951,0.000841835,0.000841835,0.000841835
7,10305.1,1.59616,0.93966,1.80599,0.84756,0.7926,0.86611,0.64499,1.59859,0.94107,1.70545,0.000676802,0.000676802,0.000676802
8,11760.9,1.57032,0.92079,1.79795,0.85191,0.80197,0.87194,0.65029,1.58257,0.92328,1.69692,0.000511769,0.000511769,0.000511769
9,13259.3,1.55208,0.90971,1.78837,0.8556,0.806,0.87519,0.65431,1.55871,0.90963,1.69129,0.000346736,0.000346736,0.000346736
10,14740.2,1.53798,0.89899,1.78627,0.85789,0.80494,0.87567,0.65565,1.55115,0.91032,1.69095,0.000181703,0.000181703,0.000181703
