epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1603.62,1.39475,0.81988,1.79262,0.879,0.84202,0.91465,0.72648,1.29898,0.77485,1.66531,0.000555458,0.000555458,0.000555458
2,3153.72,1.32684,0.77061,1.75641,0.88451,0.84354,0.91662,0.72651,1.29959,0.76627,1.67365,0.00100112,0.00100112,0.00100112
3,4702.11,1.33898,0.7869,1.75839,0.88351,0.84146,0.91545,0.72844,1.30038,0.78348,1.66388,0.00133677,0.00133677,0.00133677
4,6314.41,1.3319,0.78053,1.75956,0.88172,0.84928,0.91939,0.73401,1.27196,0.7533,1.65021,0.0011719,0.0011719,0.0011719
5,7840.63,1.31151,0.76675,1.75347,0.88375,0.84581,0.91935,0.73683,1.25778,0.74458,1.64314,0.00100687,0.00100687,0.00100687
6,9317.36,1.29379,0.75338,1.74844,0.88966,0.84566,0.92026,0.74152,1.23252,0.72665,1.64061,0.000841835,0.000841835,0.000841835
7,10802.5,1.27813,0.74056,1.74777,0.888,0.84467,0.92183,0.74259,1.22898,0.7218,1.64199,0.000676802,0.000676802,0.000676802
8,12333.2,1.2604,0.72605,1.73751,0.89269,0.84634,0.92257,0.74734,1.20744,0.70746,1.63095,0.000511769,0.000511769,0.000511769
9,13832.4,1.24306,0.71287,1.73243,0.88792,0.8507,0.92301,0.74822,1.20434,0.70504,1.634,0.000346736,0.000346736,0.000346736
10,15412.2,1.22809,0.70344,1.7302,0.8868,0.8525,0.92389,0.74985,1.19543,0.69559,1.63079,0.000181703,0.000181703,0.000181703
