epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1175.14,1.11791,0.58785,1.7494,0.8997,0.90773,0.95901,0.79679,1.07743,0.5755,1.73265,0.000555396,0.000555396,0.000555396
2,2335.44,1.16309,0.62342,1.77287,0.89783,0.89422,0.95194,0.78785,1.10109,0.60135,1.74532,0.00100107,0.00100107,0.00100107
3,3516.73,1.18975,0.64404,1.78683,0.89705,0.89819,0.95521,0.78907,1.09181,0.58864,1.74417,0.00133672,0.00133672,0.00133672
4,4670.15,1.17999,0.63696,1.78508,0.89812,0.89538,0.95567,0.79174,1.07273,0.58293,1.7363,0.0011719,0.0011719,0.0011719
5,5806.49,1.1623,0.62792,1.77755,0.90431,0.89864,0.95637,0.79479,1.06213,0.57402,1.73402,0.00100687,0.00100687,0.00100687
6,6943.08,1.1408,0.61057,1.76478,0.90231,0.90242,0.95758,0.79828,1.05229,0.56472,1.72547,0.000841835,0.000841835,0.000841835
7,8080.12,1.11821,0.59426,1.75641,0.8999,0.90355,0.95724,0.8019,1.03142,0.55716,1.71907,0.000676802,0.000676802,0.000676802
8,9203.67,1.10004,0.5768,1.74605,0.90308,0.90729,0.95998,0.80869,1.01219,0.5409,1.71308,0.000511769,0.000511769,0.000511769
9,10320.2,1.08057,0.56571,1.74435,0.90415,0.90978,0.96023,0.80931,1.00423,0.53472,1.7096,0.000346736,0.000346736,0.000346736
10,11429.2,1.05794,0.55022,1.7322,0.90425,0.90961,0.96115,0.81168,0.99736,0.52797,1.70661,0.000181703,0.000181703,0.000181703
