epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1226.87,1.18039,0.61194,1.75635,0.90076,0.90135,0.95431,0.78701,1.10278,0.5805,1.73276,0.000555396,0.000555396,0.000555396
2,2330.85,1.14723,0.59896,1.7441,0.89946,0.89155,0.94914,0.78328,1.0987,0.59533,1.73445,0.00100107,0.00100107,0.00100107
3,3422.35,1.15876,0.60764,1.74768,0.89612,0.90913,0.95632,0.78517,1.1054,0.59158,1.73953,0.00133672,0.00133672,0.00133672
4,4514.51,1.1487,0.60247,1.74464,0.89646,0.9077,0.95489,0.79054,1.0769,0.57135,1.72922,0.0011719,0.0011719,0.0011719
5,5616.37,1.13379,0.59193,1.74016,0.90156,0.90982,0.95746,0.79525,1.07098,0.57385,1.72763,0.00100687,0.00100687,0.00100687
6,6679.94,1.11699,0.57842,1.73156,0.90341,0.90656,0.95823,0.79694,1.05999,0.55773,1.72322,0.000841835,0.000841835,0.000841835
7,7794.22,1.10036,0.57009,1.72324,0.89405,0.90836,0.95634,0.79983,1.04295,0.55096,1.7198,0.000676802,0.000676802,0.000676802
8,8879.09,1.08801,0.55885,1.71855,0.90218,0.90912,0.95862,0.80331,1.03622,0.54283,1.71493,0.000511769,0.000511769,0.000511769
9,9981.49,1.07469,0.55224,1.71627,0.90648,0.9065,0.95865,0.80398,1.02789,0.53717,1.71182,0.000346736,0.000346736,0.000346736
10,11103.1,1.06388,0.54301,1.7129,0.90703,0.90717,0.95863,0.80496,1.0204,0.53356,1.70815,0.000181703,0.000181703,0.000181703
