epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1444.65,4.90295,7.08519,6.21519,0.84111,0.32066,0.3533,0.25165,2.30567,2.32591,3.30774,0.00333208,0.00333208,0.00333208
2,2845.51,2.53871,2.2722,2.87765,0.40057,0.39492,0.44909,0.35735,2.11956,1.82737,2.45538,0.00659943,0.00659943,0.00659943
3,4251.99,2.27759,1.81922,2.50979,0.71501,0.66516,0.71329,0.50118,1.87851,1.40751,2.21891,0.00980077,0.00980077,0.00980077
4,5681.24,2.03838,1.45244,2.32435,0.79971,0.75293,0.81374,0.59017,1.66395,1.14021,2.08733,0.009703,0.009703,0.009703
5,7115.45,1.86476,1.2648,2.22298,0.82937,0.788,0.85003,0.63108,1.54305,1.02137,2.01899,0.009604,0.009604,0.009604
6,8531.46,1.76962,1.18081,2.16609,0.8403,0.79666,0.86372,0.65387,1.46794,0.95394,1.97032,0.009505,0.009505,0.009505
7,9963.49,1.70779,1.11811,2.13306,0.85135,0.80248,0.87569,0.66855,1.42081,0.91067,1.94091,0.009406,0.009406,0.009406
8,11397.1,1.66543,1.08939,2.10274,0.85299,0.81074,0.88119,0.68115,1.3763,0.88098,1.91708,0.009307,0.009307,0.009307
9,12829.4,1.62883,1.05405,2.0808,0.85356,0.82166,0.88709,0.68878,1.35532,0.85704,1.9051,0.009208,0.009208,0.009208
10,14282.5,1.60081,1.03329,2.06579,0.85634,0.82202,0.88959,0.6964,1.3277,0.84611,1.88748,0.009109,0.009109,0.009109
11,15707,1.58581,1.01766,2.05556,0.86409,0.82141,0.89364,0.70175,1.31601,0.82311,1.87868,0.00901,0.00901,0.00901
12,17132.6,1.5649,0.99793,2.03822,0.86571,0.82369,0.89553,0.70728,1.29338,0.81304,1.86556,0.008911,0.008911,0.008911
13,18558.9,1.54573,0.98707,2.03077,0.86078,0.82818,0.89813,0.70992,1.28185,0.80722,1.86331,0.008812,0.008812,0.008812
14,19979.9,1.53246,0.97212,2.02469,0.86558,0.83008,0.89961,0.71368,1.27096,0.78768,1.85522,0.008713,0.008713,0.008713
15,21396.7,1.52063,0.96147,2.01915,0.87042,0.83152,0.90265,0.71737,1.26451,0.78184,1.85366,0.008614,0.008614,0.008614
16,22835.8,1.50929,0.95247,2.01625,0.86673,0.83522,0.90396,0.71958,1.25255,0.77579,1.84796,0.008515,0.008515,0.008515
17,24269.6,1.49799,0.94189,2.00657,0.86429,0.83596,0.90437,0.72166,1.24542,0.77214,1.84379,0.008416,0.008416,0.008416
18,25706.3,1.49414,0.93961,2.00237,0.86974,0.83559,0.9058,0.72399,1.23893,0.76628,1.83993,0.008317,0.008317,0.008317
19,27161,1.48468,0.9265,1.99577,0.87097,0.8347,0.90673,0.72575,1.23397,0.75978,1.83694,0.008218,0.008218,0.008218
20,28607.2,1.47439,0.91813,1.99016,0.86966,0.83813,0.90841,0.72689,1.23085,0.75575,1.83415,0.008119,0.008119,0.008119
21,30055,1.46787,0.91621,1.98242,0.87241,0.83604,0.90851,0.72809,1.22635,0.7547,1.8308,0.00802,0.00802,0.00802
22,31504.2,1.4673,0.91782,1.9827,0.87041,0.83853,0.90917,0.72908,1.2238,0.75087,1.82835,0.007921,0.007921,0.007921
23,32949.6,1.45739,0.9082,1.97915,0.87151,0.8388,0.90993,0.72989,1.22051,0.74746,1.82613,0.007822,0.007822,0.007822
24,34399.5,1.45025,0.90346,1.97138,0.873,0.83857,0.91025,0.73079,1.21789,0.74539,1.82471,0.007723,0.007723,0.007723
25,35852.4,1.44159,0.89643,1.96515,0.87708,0.83663,0.91078,0.73157,1.21626,0.74137,1.82309,0.007624,0.007624,0.007624
26,37313.7,1.43789,0.90078,1.96597,0.87453,0.83926,0.91111,0.73185,1.21464,0.74083,1.82183,0.007525,0.007525,0.007525
27,38767,1.43258,0.88836,1.96723,0.87492,0.83885,0.91103,0.73234,1.21324,0.73973,1.82072,0.007426,0.007426,0.007426
28,40221.5,1.42687,0.88426,1.95914,0.87604,0.8369,0.91093,0.73222,1.21164,0.74066,1.81957,0.007327,0.007327,0.007327
