epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,1304.65,1.23025,0.71525,1.84556,0.89209,0.86765,0.93643,0.77062,1.10887,0.6371,1.75373,0.002212,0.002212,0.002212
120,2600.64,1.23627,0.72479,1.84812,0.89147,0.86778,0.9364,0.7707,1.10848,0.63658,1.75328,0.002146,0.002146,0.002146
121,3911.37,1.24005,0.72515,1.85161,0.89068,0.86842,0.93625,0.77067,1.10768,0.63647,1.75283,0.00208,0.00208,0.00208
122,5309.17,1.23542,0.72407,1.85162,0.89173,0.86778,0.93633,0.77078,1.10698,0.63523,1.75252,0.002014,0.002014,0.002014
123,6706.62,1.23294,0.72414,1.84441,0.89153,0.86841,0.93639,0.77113,1.10669,0.63405,1.75212,0.001948,0.001948,0.001948
124,8058.38,1.23165,0.72489,1.85363,0.89209,0.86793,0.93649,0.77132,1.10601,0.63355,1.75202,0.001882,0.001882,0.001882
125,9379.05,1.22824,0.72025,1.84493,0.89096,0.86829,0.93654,0.77138,1.10524,0.63338,1.75141,0.001816,0.001816,0.001816
126,10702.4,1.22542,0.71803,1.84147,0.89083,0.86884,0.93656,0.77156,1.10497,0.63257,1.75094,0.00175,0.00175,0.00175
127,12041.8,1.22237,0.7159,1.84182,0.89143,0.86889,0.9365,0.77156,1.10447,0.63185,1.75047,0.001684,0.001684,0.001684
128,13381.6,1.22303,0.71645,1.84208,0.89218,0.86865,0.93662,0.77187,1.10391,0.63069,1.75012,0.001618,0.001618,0.001618
129,14722.7,1.22118,0.71373,1.8527,0.89228,0.86822,0.93676,0.77211,1.10321,0.63059,1.74999,0.001552,0.001552,0.001552
130,16070.5,1.22015,0.713,1.85274,0.89299,0.86805,0.93679,0.77245,1.10255,0.63009,1.74994,0.001486,0.001486,0.001486
131,17400.4,1.21585,0.70826,1.84235,0.89319,0.86833,0.93674,0.77263,1.10222,0.62965,1.7497,0.00142,0.00142,0.00142
132,18731.6,1.21256,0.70819,1.83608,0.89341,0.86906,0.93701,0.77279,1.10195,0.62919,1.74922,0.001354,0.001354,0.001354
133,20066.2,1.20852,0.70331,1.83699,0.89409,0.86829,0.93701,0.77284,1.10137,0.62891,1.74891,0.001288,0.001288,0.001288
134,21399.9,1.20844,0.70116,1.83498,0.89438,0.86847,0.93704,0.77293,1.10073,0.62813,1.74855,0.001222,0.001222,0.001222
135,22733.8,1.20604,0.70159,1.82997,0.89522,0.86806,0.93737,0.77319,1.10051,0.62725,1.74803,0.001156,0.001156,0.001156
136,24075.1,1.20385,0.69971,1.83371,0.89309,0.86999,0.93735,0.77336,1.09976,0.62718,1.74763,0.00109,0.00109,0.00109
137,25416.4,1.20219,0.69712,1.82982,0.89428,0.86891,0.93755,0.77363,1.09931,0.62597,1.74703,0.001024,0.001024,0.001024
