epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1588.8,1.29626,0.75353,1.76613,0.88559,0.84358,0.91997,0.73734,1.26482,0.75819,1.67658,0.000555458,0.000555458,0.000555458
2,3201.85,1.32533,0.78139,1.7798,0.87637,0.8496,0.92179,0.73109,1.30201,0.77924,1.70947,0.00100112,0.00100112,0.00100112
3,4680.35,1.34997,0.79857,1.78971,0.87743,0.84829,0.91884,0.73232,1.27292,0.7612,1.685,0.00133677,0.00133677,0.00133677
4,6168.54,1.34373,0.79537,1.77878,0.89028,0.84175,0.9204,0.73813,1.27154,0.75795,1.67671,0.0011719,0.0011719,0.0011719
5,7669.95,1.32366,0.77714,1.77514,0.88799,0.8479,0.92438,0.74328,1.24554,0.7332,1.66058,0.00100687,0.00100687,0.00100687
6,9175.66,1.29802,0.75941,1.76942,0.8906,0.84945,0.92378,0.74722,1.21556,0.71985,1.66356,0.000841835,0.000841835,0.000841835
7,10715,1.276,0.7444,1.756,0.89155,0.84932,0.92531,0.7519,1.19924,0.7038,1.64358,0.000676802,0.000676802,0.000676802
8,12263.5,1.25167,0.72519,1.74879,0.89189,0.85498,0.92789,0.75422,1.19453,0.69456,1.6503,0.000511769,0.000511769,0.000511769
9,13804.2,1.22844,0.70686,1.74551,0.89478,0.85045,0.92728,0.75587,1.18438,0.68529,1.6425,0.000346736,0.000346736,0.000346736
10,15335.8,1.20831,0.69256,1.73186,0.89724,0.85124,0.92896,0.75879,1.1796,0.67931,1.63362,0.000181703,0.000181703,0.000181703
