epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1472.03,1.30638,0.7564,1.75881,0.88572,0.84714,0.92201,0.73881,1.26483,0.75376,1.66139,0.000555458,0.000555458,0.000555458
2,2932.56,1.31319,0.76724,1.76977,0.88295,0.8462,0.92093,0.72999,1.29539,0.76852,1.67816,0.00100112,0.00100112,0.00100112
3,4384.42,1.33815,0.78847,1.78166,0.88112,0.84929,0.91975,0.73457,1.28659,0.76451,1.66959,0.00133677,0.00133677,0.00133677
4,5824.97,1.32992,0.78545,1.77175,0.87964,0.8451,0.91927,0.73742,1.26849,0.74448,1.66642,0.0011719,0.0011719,0.0011719
5,7275.82,1.30701,0.76611,1.7638,0.88593,0.84974,0.92368,0.74386,1.23978,0.74628,1.65633,0.00100687,0.00100687,0.00100687
6,8727.01,1.28819,0.75121,1.76163,0.88946,0.85196,0.92436,0.74705,1.22356,0.71602,1.65468,0.000841835,0.000841835,0.000841835
7,10161.8,1.2693,0.7385,1.75863,0.88999,0.85051,0.92425,0.7484,1.2075,0.70628,1.65172,0.000676802,0.000676802,0.000676802
8,11606.1,1.24739,0.71945,1.7431,0.88952,0.85589,0.92639,0.75208,1.20079,0.69639,1.63948,0.000511769,0.000511769,0.000511769
9,13049.8,1.22832,0.70529,1.73851,0.89021,0.85544,0.92691,0.75495,1.19264,0.687,1.64448,0.000346736,0.000346736,0.000346736
10,14494.9,1.20866,0.6914,1.73797,0.89004,0.8553,0.92742,0.75659,1.18681,0.68206,1.64612,0.000181703,0.000181703,0.000181703
