epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1460.86,2.07155,2.77056,2.40914,0.71152,0.7042,0.74965,0.55076,1.7395,1.63033,1.9938,0.00333208,0.00333208,0.00333208
2,2902.35,1.79511,1.45744,2.08124,0.80237,0.74393,0.8277,0.63245,1.60017,1.28306,1.86431,0.00653344,0.00653344,0.00653344
3,4344.8,1.75374,1.27554,2.02769,0.84693,0.79655,0.87221,0.67805,1.52901,1.04011,1.81658,0.0096028,0.0096028,0.0096028
4,5791.15,1.72049,1.19922,2.00188,0.85511,0.8122,0.88682,0.69773,1.45916,0.95715,1.78084,0.009406,0.009406,0.009406
5,7307.54,1.65577,1.13076,1.97132,0.86672,0.81958,0.89667,0.71451,1.41138,0.90745,1.75721,0.009208,0.009208,0.009208
6,8778.98,1.61925,1.09198,1.95317,0.86686,0.82761,0.9035,0.72315,1.37725,0.88453,1.73773,0.00901,0.00901,0.00901
7,10242.1,1.59077,1.05503,1.93738,0.87292,0.82984,0.90775,0.73201,1.34583,0.84932,1.729,0.008812,0.008812,0.008812
8,11702.5,1.56673,1.04001,1.92667,0.8757,0.82899,0.90874,0.73728,1.32572,0.83751,1.71967,0.008614,0.008614,0.008614
9,13170.1,1.54409,1.01265,1.91628,0.87664,0.84061,0.91285,0.74306,1.30897,0.81943,1.71095,0.008416,0.008416,0.008416
10,14656.9,1.52222,0.99604,1.90556,0.88247,0.83776,0.91533,0.74918,1.28755,0.8099,1.70644,0.008218,0.008218,0.008218
11,16139.5,1.5129,0.98922,1.90174,0.88595,0.83666,0.91688,0.75205,1.27233,0.79979,1.69824,0.00802,0.00802,0.00802
12,17616.2,1.49976,0.97283,1.8967,0.88602,0.83827,0.9181,0.75512,1.26799,0.78481,1.69724,0.007822,0.007822,0.007822
13,19117.8,1.48443,0.95956,1.89235,0.88557,0.84521,0.92046,0.75878,1.25295,0.77709,1.69154,0.007624,0.007624,0.007624
14,20624.9,1.47334,0.95186,1.88744,0.88754,0.84458,0.92184,0.76052,1.24773,0.77063,1.68841,0.007426,0.007426,0.007426
15,22136.4,1.46319,0.9405,1.88406,0.89011,0.84629,0.92319,0.76284,1.23834,0.76252,1.68559,0.007228,0.007228,0.007228
16,23615.6,1.45846,0.93744,1.88217,0.88933,0.84582,0.92325,0.76447,1.23228,0.75956,1.68337,0.00703,0.00703,0.00703
17,25155,1.44846,0.92929,1.87654,0.89155,0.84768,0.92428,0.76631,1.22562,0.75362,1.68044,0.006832,0.006832,0.006832
18,26795,1.44639,0.92885,1.87445,0.89113,0.84906,0.92572,0.76764,1.2221,0.75091,1.67744,0.006634,0.006634,0.006634
19,28400.3,1.43698,0.91764,1.86983,0.89056,0.84981,0.92618,0.76871,1.21843,0.74752,1.67588,0.006436,0.006436,0.006436
20,29933.8,1.42739,0.91188,1.86747,0.88902,0.85258,0.9274,0.76978,1.21523,0.74543,1.67388,0.006238,0.006238,0.006238
21,31435.1,1.42142,0.90705,1.86339,0.88915,0.85262,0.92798,0.7709,1.21178,0.74267,1.67233,0.00604,0.00604,0.00604
22,32987.4,1.4156,0.90407,1.86157,0.89023,0.85236,0.92855,0.77189,1.20832,0.73987,1.67083,0.005842,0.005842,0.005842
23,34520.5,1.40787,0.8937,1.86078,0.89098,0.8516,0.92893,0.77268,1.20493,0.73726,1.66948,0.005644,0.005644,0.005644
24,36084.1,1.39871,0.88759,1.85484,0.89125,0.85199,0.92944,0.77327,1.20291,0.73535,1.66873,0.005446,0.005446,0.005446
25,37759.6,1.39291,0.88292,1.85155,0.89234,0.85148,0.92942,0.77353,1.20095,0.73423,1.66772,0.005248,0.005248,0.005248
26,39358.3,1.39075,0.87998,1.85076,0.8909,0.85278,0.92945,0.77388,1.19935,0.73288,1.66697,0.00505,0.00505,0.00505
27,41039.7,1.38444,0.87049,1.84843,0.88974,0.85516,0.92981,0.77448,1.19774,0.73096,1.6663,0.004852,0.004852,0.004852
