epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.68,4.25526,6.44401,5.18333,0.8163,0.303,0.3213,0.22035,2.26861,2.87729,2.88771,0.000554678,0.000554678,0.000554678
2,580.756,2.58028,2.23729,2.72025,0.79994,0.28946,0.31879,0.21318,2.76604,2.98718,2.69888,0.00108836,0.00108836,0.00108836
3,861.408,2.30646,1.77787,2.39445,0.92091,0.40918,0.46484,0.36877,2.05197,1.58108,2.12202,0.00160004,0.00160004,0.00160004
4,1149.07,2.12059,1.55022,2.24617,0.55822,0.55537,0.55823,0.41101,1.8916,1.43082,1.98857,0.00156798,0.00156798,0.00156798
5,1430.41,1.96914,1.38135,2.1561,0.71676,0.62668,0.66712,0.47499,1.67329,1.15304,1.87449,0.00153497,0.00153497,0.00153497
6,1707.47,1.86221,1.26874,2.09081,0.76273,0.67322,0.72966,0.50664,1.63114,1.12827,1.86199,0.00150197,0.00150197,0.00150197
7,1988.26,1.77973,1.17977,2.0532,0.79633,0.71948,0.77879,0.55264,1.52654,0.986,1.81381,0.00146896,0.00146896,0.00146896
8,2266.35,1.71396,1.11121,2.01508,0.81128,0.74486,0.80794,0.5776,1.4659,0.91091,1.76758,0.00143595,0.00143595,0.00143595
9,2541.88,1.67038,1.06073,1.98592,0.82992,0.75658,0.81852,0.58862,1.4478,0.90095,1.77427,0.00140295,0.00140295,0.00140295
10,2821.79,1.63997,1.03849,1.97315,0.83466,0.75829,0.83037,0.59561,1.41409,0.91024,1.75563,0.00136994,0.00136994,0.00136994
11,3102.03,1.59278,0.99731,1.95432,0.83098,0.77935,0.84854,0.6245,1.34188,0.81024,1.72624,0.00133693,0.00133693,0.00133693
12,3382.44,1.56718,0.96692,1.93977,0.84563,0.78512,0.85625,0.63492,1.30154,0.78626,1.7077,0.00130393,0.00130393,0.00130393
13,3667.25,1.54132,0.93803,1.92334,0.84607,0.7856,0.85473,0.63241,1.33034,0.81471,1.73421,0.00127092,0.00127092,0.00127092
14,3949.1,1.52734,0.9259,1.915,0.86661,0.79719,0.87205,0.64773,1.28996,0.74924,1.70192,0.00123791,0.00123791,0.00123791
15,4231.62,1.5021,0.90421,1.90326,0.86634,0.81208,0.87949,0.65095,1.28676,0.74944,1.70217,0.00120491,0.00120491,0.00120491
16,4516.78,1.47562,0.883,1.89463,0.87616,0.81931,0.88794,0.66464,1.23686,0.72212,1.69004,0.0011719,0.0011719,0.0011719
17,4798.13,1.4676,0.87768,1.88604,0.87542,0.81661,0.88553,0.67139,1.21219,0.69096,1.67646,0.00113889,0.00113889,0.00113889
18,5079.47,1.44861,0.86337,1.88052,0.88033,0.82672,0.89552,0.67721,1.20453,0.68151,1.66634,0.00110589,0.00110589,0.00110589
19,5364.22,1.43512,0.8583,1.8736,0.8852,0.82409,0.90057,0.68463,1.18463,0.6626,1.66854,0.00107288,0.00107288,0.00107288
20,5643.93,1.41872,0.84043,1.86575,0.86942,0.81603,0.88663,0.67149,1.20589,0.67663,1.66806,0.00103987,0.00103987,0.00103987
21,5930.63,1.40161,0.82582,1.85545,0.88587,0.82824,0.89961,0.68496,1.18017,0.65232,1.66082,0.00100687,0.00100687,0.00100687
22,6220.35,1.39307,0.8165,1.85464,0.88825,0.83592,0.90753,0.6939,1.16395,0.64079,1.66198,0.000973861,0.000973861,0.000973861
23,6507.98,1.38929,0.81088,1.85487,0.88309,0.83598,0.90566,0.69405,1.16424,0.6404,1.65781,0.000940855,0.000940855,0.000940855
